schema,table,field,required,type,description,table,
cdm,dose_era,dose_era_id,Yes,INTEGER,A unique identifier for each Dose Era.,dose_era,
cdm,dose_era,person_id,Yes,INTEGER,A foreign key identifier to the Person who is subjected to the drug during the drug era. The demographic details of that Person are stored in the PERSON table.,dose_era,
cdm,dose_era,drug_concept_id,Yes,INTEGER,A foreign key that refers to a Standard Concept identifier in the Standardized Vocabularies for the active Ingredient Concept.,dose_era,
cdm,dose_era,unit_concept_id,Yes,INTEGER,A foreign key that refers to a Standard Concept identifier in the Standardized Vocabularies for the unit concept.,dose_era,
cdm,dose_era,dose_value,Yes,FLOAT,The numeric value of the dose.,dose_era,
cdm,dose_era,dose_era_start_date,Yes,DATE,The start date for the drug era constructed from the individual instances of drug exposures. It is the start date of the very first chronologically recorded instance of utilization of a drug.,dose_era,
cdm,dose_era,dose_era_end_date,Yes,DATE,The end date for the drug era constructed from the individual instance of drug exposures. It is the end date of the final continuously recorded instance of utilization of a drug.,dose_era,
cdm,drug_era,drug_era_id,Yes,INTEGER,A unique identifier for each Drug Era.,drug_era,
cdm,drug_era,person_id,Yes,INTEGER,A foreign key identifier to the Person who is subjected to the Drug during the fDrug Era. The demographic details of that Person are stored in the PERSON table.,drug_era,
cdm,drug_era,drug_concept_id,Yes,INTEGER,A foreign key that refers to a Standard Concept identifier in the Standardized Vocabularies for the Ingredient Concept.,drug_era,
cdm,drug_era,drug_era_start_date,Yes,DATE,The start date for the Drug Era constructed from the individual instances of Drug Exposures. It is the start date of the very first chronologically recorded instance of conutilization of a Drug.,drug_era,
cdm,drug_era,drug_era_end_date,Yes,DATE,The end date for the drug era constructed from the individual instance of drug exposures. It is the end date of the final continuously recorded instance of utilization of a drug.,drug_era,
cdm,drug_era,drug_exposure_count,No,INTEGER,The number of individual Drug Exposure occurrences used to construct the Drug Era.,drug_era,
cdm,drug_era,gap_days,No,INTEGER,The number of days that are not covered by DRUG_EXPOSURE records that were used to make up the era record.,drug_era,
cdm,cost,cost_id,Yes,INTEGER,A unique identifier for each COST record.,cost,
cdm,cost,cost_event_id,Yes,INTEGER,"A foreign key identifier to the event (e.g. Measurement, Procedure, Visit, Drug Exposure, etc) record for which cost data are recorded.",cost,
cdm,cost,cost_domain_id,Yes,VARCHAR(20),"The concept representing the domain of the cost event, from which the corresponding table can be inferred that contains the entity for which cost information is recorded.",cost,
cdm,cost,cost_type_concept_id,Yes,INTEGER,"A foreign key identifier to a concept in the CONCEPT table for the provenance or the source of the COST data: Calculated from insurance claim information, provider revenue, calculated from cost-to-charge ratio, reported from accounting database, etc.",cost,
cdm,cost,currency_concept_id,No,INTEGER,"A foreign key identifier to the concept representing the 3-letter code used to delineate international currencies, such as USD for US Dollar.",cost,
cdm,cost,total_charge,No,FLOAT,"The total amount charged by some provider of goods or services (e.g. hospital, physician pharmacy, dme provider) to payers (insurance companies, the patient).",cost,
cdm,cost,total_cost,No,FLOAT,The cost incurred by the provider of goods or services.,cost,
cdm,cost,total_paid,No,FLOAT,The total amount actually paid from all payers for goods or services of the provider.,cost,
cdm,cost,paid_by_payer,No,FLOAT,The amount paid by the Payer for the goods or services.,cost,
cdm,cost,paid_by_patient,No,FLOAT,The total amount paid by the Person as a share of the expenses.,cost,
cdm,cost,paid_patient_copay,No,FLOAT,The amount paid by the Person as a fixed contribution to the expenses.,cost,
cdm,cost,paid_patient_coinsurance,No,FLOAT,"The amount paid by the Person as a joint assumption of risk. Typically, this is a percentage of the expenses defined by the Payer Plan after the Person's deductible is exceeded.",cost,
cdm,cost,paid_patient_deductible,No,FLOAT,The amount paid by the Person that is counted toward the deductible defined by the Payer Plan. paid_patient_deductible does contribute to the paid_by_patient variable.,cost,
cdm,cost,paid_by_primary,No,FLOAT,The amount paid by a primary Payer through the coordination of benefits.,cost,
cdm,cost,paid_ingredient_cost,No,FLOAT,"The amount paid by the Payer to a pharmacy for the drug, excluding the amount paid for dispensing the drug.  paid_ingredient_cost contributes to the paid_by_payer field if this field is populated with a nonzero value.",cost,
cdm,cost,paid_dispensing_fee,No,FLOAT,"The amount paid by the Payer to a pharmacy for dispensing a drug, excluding the amount paid for the drug ingredient. paid_dispensing_fee contributes to the paid_by_payer field if this field is populated with a nonzero value.",cost,
cdm,cost,payer_plan_period_id,No,INTEGER,"A foreign key to the PAYER_PLAN_PERIOD table, where the details of the Payer, Plan and Family are stored.  Record the payer_plan_id that relates to the payer who contributed to the paid_by_payer field.",cost,
cdm,cost,amount_allowed,No,FLOAT,The contracted amount agreed between the payer and provider.,cost,
cdm,cost,revenue_code_concept_id,No,INTEGER,A foreign key referring to a Standard Concept ID in the Standardized Vocabularies for Revenue codes.,cost,
cdm,cost,revenue_code_source_value,No,VARCHAR(50),"The source code for the Revenue code as it appears in the source data, stored here for reference.",cost,
cdm,cost,drg_concept_id,No,INTEGER,A foreign key to the predefined concept in the DRG Vocabulary reflecting the DRG for a visit.,cost,
cdm,cost,drg_source_value,No,VARCHAR(3),The 3-digit DRG source code as it appears in the source data.,cost,
cdm,payer_plan_period,payer_plan_period_id,Yes,INTEGER,"A identifier for each unique combination of payer, plan, family code and time span.",payer_plan_period,
cdm,payer_plan_period,person_id,Yes,INTEGER,A foreign key identifier to the Person covered by the payer. The demographic details of that Person are stored in the PERSON table.,payer_plan_period,
cdm,payer_plan_period,payer_plan_period_start_date,Yes,DATE,The start date of the payer plan period.,payer_plan_period,
cdm,payer_plan_period,payer_plan_period_end_date,Yes,DATE,The end date of the payer plan period.,payer_plan_period,
cdm,payer_plan_period,payer_source_value,No,VARCHAR(50),The source code for the payer as it appears in the source data.,,
cdm,payer_plan_period,plan_source_value,No,VARCHAR(50),The source code for the Person’s health benefit plan as it appears in the source data.,,
cdm,payer_plan_period,family_source_value,No,VARCHAR(50),The source code for the Person’s family as it appears in the source data.,,
cdm,care_site,care_site_id,Yes,INTEGER,A unique identifier for each Care Site.,care_site,
cdm,care_site,care_site_name,No,VARCHAR(255),The verbatim description or name of the Care Site as in data source,care_site,
cdm,care_site,place_of_service_concept_id,No,INTEGER,A foreign key that refers to a Place of Service Concept ID in the Standardized Vocabularies.,care_site,
cdm,care_site,location_id,No,INTEGER,"A foreign key to the geographic Location in the LOCATION table, where the detailed address information is stored.",care_site,
cdm,care_site,care_site_source_value,No,VARCHAR(50),"The identifier for the Care Site in the source data, stored here for reference.",care_site,
cdm,care_site,place_of_service_source_value,No,VARCHAR(50),"The source code for the Place of Service as it appears in the source data, stored here for reference.",care_site,
cdm,location,location_id,Yes,INTEGER,A unique identifier for each geographic location.,location,
cdm,location,address_1,No,VARCHAR(50),"The address field 1, typically used for the street address, as it appears in the source data.",location,
cdm,location,address_2,No,VARCHAR(50),"The address field 2, typically used for additional detail such as buildings, suites, floors, as it appears in the source data.",location,
cdm,location,city,No,VARCHAR(50),The city field as it appears in the source data.,location,
cdm,location,state,No,VARCHAR(2),The state field as it appears in the source data.,location,
cdm,location,zip,No,VARCHAR(9),The zip or postal code.,location,
cdm,location,county,No,VARCHAR(20),The county.,location,
cdm,location,location_source_value,No,VARCHAR(50),The verbatim information that is used to uniquely identify the location as it appears in the source data.,location,
cdm,provider,provider_id,Yes,INTEGER,A unique identifier for each Provider.,provider,
cdm,provider,provider_name,No,VARCHAR(255),A description of the Provider.,provider,
cdm,provider,npi,No,VARCHAR(20),The National Provider Identifier (NPI) of the provider.,provider,
cdm,provider,dea,No,VARCHAR(20),The Drug Enforcement Administration (DEA) number of the provider.,provider,
cdm,provider,specialty_concept_id,No,INTEGER,A foreign key to a Standard Specialty Concept ID in the Standardized Vocabularies.,provider,
cdm,provider,care_site_id,No,INTEGER,A foreign key to the main Care Site where the provider is practicing.,provider,
cdm,provider,year_of_birth,No,INTEGER,The year of birth of the Provider.,provider,
cdm,provider,gender_concept_id,No,INTEGER,The gender of the Provider.,provider,
cdm,provider,provider_source_value,No,VARCHAR(50),"The identifier used for the Provider in the source data, stored here for reference.",provider,
cdm,provider,specialty_source_value,No,VARCHAR(50),"The source code for the Provider specialty as it appears in the source data, stored here for reference.",provider,
cdm,provider,specialty_source_concept_id,No,INTEGER,A foreign key to a Concept that refers to the code used in the source.,provider,
cdm,provider,gender_source_value,No,VARCHAR(50),"The gender code for the Provider as it appears in the source data, stored here for reference.",provider,
cdm,provider,gender_source_concept_id,No,INTEGER,A foreign key to a Concept that refers to the code used in the source.,provider,
cdm,cdm_source,cdm_source_name,Yes,VARCHAR(255),The full name of the source,cdm_source,
cdm,cdm_source,cdm_source_abbreviation,No,VARCHAR(25),An abbreviation of the name,cdm_source,
cdm,cdm_source,cdm_holder,No,VARCHAR(255),The name of the organization responsible for the development of the CDM instance,cdm_source,
cdm,cdm_source,source_description,No,CLOB,A description of the source data origin and purpose for collection. The description may contain a summary of the period of time that is expected to be covered by this dataset.,cdm_source,
cdm,cdm_source,source_documentation_reference,No,VARCHAR(255),URL or other external reference to location of source documentation,cdm_source,
cdm,cdm_source,cdm_etl _reference,No,VARCHAR(255),URL or other external reference to location of ETL specification documentation and ETL source code,cdm_source,
cdm,cdm_source,source_release_date,No,DATE,"The date for which the source data are most current, such as the last day of data capture",cdm_source,
cdm,cdm_source,cdm_release_date,No,DATE,The date when the CDM was instantiated,cdm_source,
cdm,cdm_source,cdm_version,No,VARCHAR(10),The version of CDM used,cdm_source,
cdm,cdm_source,vocabulary_version,No,VARCHAR(20),The version of the vocabulary used,cdm_source,
results,cohort_definition,cohort_definition_id,Yes,INTEGER,A unique identifier for each Cohort.,cohort_definition,
results,cohort_definition,cohort_definition_name,Yes,VARCHAR(255),A short description of the Cohort.,cohort_definition,
results,cohort_definition,cohort_definition_description,No,VARCHAR(MAX),A complete description of the Cohort definition,cohort_definition,
results,cohort_definition,definition_type_concept_id,Yes,INTEGER,Type defining what kind of Cohort Definition the record represents and how the syntax may be executed,cohort_definition,
results,cohort_definition,cohort_definition_syntax,No,VARCHAR(MAX),Syntax or code to operationalize the Cohort definition,cohort_definition,
results,cohort_definition,subject_concept_id,Yes,INTEGER,"A foreign key to the Concept to which defines the domain of subjects that are members of the cohort (e.g., Person, Provider, Visit).",cohort_definition,
results,cohort_definition,cohort_instantiation_date,No,DATE,A date to indicate when the Cohort was instantiated in the COHORT table,cohort_definition,
cdm,concept,concept_id,Yes,INTEGER,A unique identifier for each Concept across all domains.,concept,
cdm,concept,concept_name,Yes,VARCHAR(255),"An unambiguous, meaningful and descriptive name for the Concept.",concept,
cdm,concept,domain_id,Yes,VARCHAR(20),A foreign key to the [DOMAIN](https://github.com/OHDSI/CommonDataModel/wiki/DOMAIN) table the Concept belongs to.,concept,
cdm,concept,vocabulary_id,Yes,VARCHAR(20),A foreign key to the [VOCABULARY](https://github.com/OHDSI/CommonDataModel/wiki/VOCABULARY) table indicating from which source the Concept has been adapted.,concept,
cdm,concept,concept_class_id,Yes,VARCHAR(20),"The attribute or concept class of the Concept. Examples are 'Clinical Drug', 'Ingredient', 'Clinical Finding' etc.",concept,
cdm,concept,standard_concept,No,VARCHAR(1),"This flag determines where a Concept is a Standard Concept, i.e. is used in the data, a Classification Concept, or a non-standard Source Concept. The allowables values are 'S' (Standard Concept) and 'C' (Classification Concept), otherwise the content is NULL.",concept,
cdm,concept,concept_code,Yes,VARCHAR(50),"The concept code represents the identifier of the Concept in the source vocabulary, such as SNOMED-CT concept IDs, RxNorm RXCUIs etc. Note that concept codes are not unique across vocabularies.",concept,
cdm,concept,valid_start_date,Yes,DATE,"The date when the Concept was first recorded. The default value is 1-Jan-1970, meaning, the Concept has no (known) date of inception.",concept,
cdm,concept,valid_end_date,Yes,DATE,"The date when the Concept became invalid because it was deleted or superseded (updated) by a new concept. The default value is 31-Dec-2099, meaning, the Concept is valid until it becomes deprecated.",concept,
cdm,concept,invalid_reason,No,VARCHAR(1),"Reason the Concept was invalidated. Possible values are D (deleted), U (replaced with an update) or NULL when valid_end_date has the default value.",concept,
cdm,concept_ancestor,ancestor_concept_id,Yes,INTEGER,A foreign key to the concept in the concept table for the higher-level concept that forms the ancestor in the relationship.,concept_ancestor,
cdm,concept_ancestor,descendant_concept_id,Yes,INTEGER,A foreign key to the concept in the concept table for the lower-level concept that forms the descendant in the relationship.,concept_ancestor,
cdm,concept_ancestor,min_levels_of_separation,Yes,INTEGER,The minimum separation in number of levels of hierarchy between ancestor and descendant concepts. This is an attribute that is used to simplify hierarchic analysis.,concept_ancestor,
cdm,concept_ancestor,max_levels_of_separation,Yes,INTEGER,The maximum separation in number of levels of hierarchy between ancestor and descendant concepts. This is an attribute that is used to simplify hierarchic analysis.,concept_ancestor,
cdm,concept_class,concept_class_id,Yes,VARCHAR(20),A unique key for each class.,concept_class,
cdm,concept_class,concept_class_name,Yes,VARCHAR(255),"The name describing the Concept Class, e.g. ""Clinical Finding"", ""Ingredient"", etc.",concept_class,
cdm,concept_class,concept_class_concept_id,Yes,INTEGER,A foreign key that refers to an identifier in the [CONCEPT](https://github.com/OHDSI/CommonDataModel/wiki/CONCEPT) table for the unique Concept Class the record belongs to.,concept_class,
cdm,concept_relationship,concept_id_1,Yes,INTEGER,"A foreign key to a Concept in the [CONCEPT](https://github.com/OHDSI/CommonDataModel/wiki/CONCEPT) table associated with the relationship. Relationships are directional, and this field represents the source concept designation.",concept_relationship,
cdm,concept_relationship,concept_id_2,Yes,INTEGER,"A foreign key to a Concept in the [CONCEPT](https://github.com/OHDSI/CommonDataModel/wiki/CONCEPT) table associated with the relationship. Relationships are directional, and this field represents the destination concept designation.",concept_relationship,
cdm,concept_relationship,relationship_id,Yes,VARCHAR(20),A unique identifier to the type or nature of the Relationship as defined in the [RELATIONSHIP](https://github.com/OHDSI/CommonDataModel/wiki/RELATIONSHIP) table.,concept_relationship,
cdm,concept_relationship,valid_start_date,Yes,DATE,The date when the instance of the Concept Relationship is first recorded.,concept_relationship,
cdm,concept_relationship,valid_end_date,Yes,DATE,The date when the Concept Relationship became invalid because it was deleted or superseded (updated) by a new relationship. Default value is 31-Dec-2099.,concept_relationship,
cdm,concept_relationship,invalid_reason,No,VARCHAR(1),"Reason the relationship was invalidated. Possible values are 'D' (deleted), 'U' (replaced with an update) or NULL when valid_end_date has the default value.",concept_relationship,
cdm,concept_synonym,concept_id,Yes,INTEGER,A foreign key to the Concept in the CONCEPT table.,concept_synonym,
cdm,concept_synonym,concept_synonym_name,Yes,VARCHAR(1000),The alternative name for the Concept.,concept_synonym,
cdm,concept_synonym,language_concept_id,Yes,INTEGER,A foreign key to a Concept representing the language.,concept_synonym,
cdm,domain,domain_id,Yes,VARCHAR(20),A unique key for each domain.,domain,
cdm,domain,domain_name,Yes,VARCHAR(255),"The name describing the Domain, e.g. ""Condition"", ""Procedure"", ""Measurement"" etc.",domain,
cdm,domain,domain_concept_id,Yes,INTEGER,A foreign key that refers to an identifier in the [CONCEPT](https://github.com/OHDSI/CommonDataModel/wiki/CONCEPT) table for the unique Domain Concept the Domain record belongs to.,domain,
cdm,drug_strength,drug_concept_id,Yes,INTEGER,A foreign key to the Concept in the CONCEPT table representing the identifier for Branded Drug or Clinical Drug Concept.,drug_strength,
cdm,drug_strength,ingredient_concept_id,Yes,INTEGER,"A foreign key to the Concept in the CONCEPT table, representing the identifier for drug Ingredient Concept contained within the drug product.",drug_strength,
cdm,drug_strength,amount_value,No,FLOAT,The numeric value associated with the amount of active ingredient contained within the product.,drug_strength,
cdm,drug_strength,amount_unit_concept_id,No,INTEGER,A foreign key to the Concept in the CONCEPT table representing the identifier for the Unit for the absolute amount of active ingredient.,drug_strength,
cdm,drug_strength,numerator_value,No,FLOAT,The numeric value associated with the concentration of the active ingredient contained in the product,drug_strength,
cdm,drug_strength,numerator_unit_concept_id,No,INTEGER,A foreign key to the Concept in the CONCEPT table representing the identifier for the numerator Unit for the concentration of active ingredient.,drug_strength,
cdm,drug_strength,denominator_value,No,FLOAT,"The amount of total liquid (or other divisible product, such as ointment, gel, spray, etc.).",drug_strength,
cdm,drug_strength,denominator_unit_concept_id,No,INTEGER,A foreign key to the Concept in the CONCEPT table representing the identifier for the denominator Unit for the concentration of active ingredient.,drug_strength,
cdm,drug_strength,box_size,No,INTEGER,"The number of units of Clinical of Branded Drug, or Quantified Clinical or Branded Drug contained in a box as dispensed to the patient",drug_strength,
cdm,drug_strength,valid_start_date,Yes,DATE,The date when the Concept was first recorded. The default value is 1-Jan-1970.,drug_strength,
cdm,drug_strength,valid_end_date,Yes,DATE,The date when the concept became invalid because it was deleted or superseded (updated) by a new Concept. The default value is 31-Dec-2099.,drug_strength,
cdm,drug_strength,invalid_reason,No,VARCHAR(1),"Reason the concept was invalidated. Possible values are 'D' (deleted), 'U' (replaced with an update) or NULL when valid_end_date has the default value.",drug_strength,
cdm,relationship,relationship_id,Yes,VARCHAR(20),The type of relationship captured by the relationship record.,relationship,
cdm,relationship,relationship_name,Yes,VARCHAR(255),The text that describes the relationship type.,relationship,
cdm,relationship,is_hierarchical,Yes,VARCHAR(1),Defines whether a relationship defines concepts into classes or hierarchies. Values are 1 for hierarchical relationship or 0 if not.,relationship,
cdm,relationship,defines_ancestry,Yes,VARCHAR(1),Defines whether a hierarchical relationship contributes to the concept_ancestor table. These are subsets of the hierarchical relationships. Valid values are 1 or 0.,relationship,
cdm,relationship,reverse_relationship_id,Yes,VARCHAR(20),The identifier for the relationship used to define the reverse relationship between two concepts.,relationship,
cdm,relationship,relationship_concept_id,Yes,INTEGER,A foreign key that refers to an identifier in the CONCEPT table for the unique relationship concept.,relationship,
cdm,source_to_concept_map,source_code,Yes,VARCHAR(50),The source code being translated into a Standard Concept.,source_to_concept_map,
cdm,source_to_concept_map,source_concept_id,Yes,INTEGER,A foreign key to the Source Concept that is being translated into a Standard Concept.,source_to_concept_map,
cdm,source_to_concept_map,source_vocabulary_id,Yes,VARCHAR(20),A foreign key to the VOCABULARY table defining the vocabulary of the source code that is being translated to a Standard Concept.,source_to_concept_map,
cdm,source_to_concept_map,source_code_description,No,VARCHAR(255),An optional description for the source code. This is included as a convenience to compare the description of the source code to the name of the concept.,source_to_concept_map,
cdm,source_to_concept_map,target_concept_id,Yes,INTEGER,A foreign key to the target Concept to which the source code is being mapped.,source_to_concept_map,
cdm,source_to_concept_map,target_vocabulary_id,Yes,VARCHAR(20),A foreign key to the VOCABULARY table defining the vocabulary of the target Concept.,source_to_concept_map,
cdm,source_to_concept_map,valid_start_date,Yes,DATE,The date when the mapping instance was first recorded.,source_to_concept_map,
cdm,source_to_concept_map,valid_end_date,Yes,DATE,The date when the mapping instance became invalid because it was deleted or superseded (updated) by a new relationship. Default value is 31-Dec-2099.,source_to_concept_map,
cdm,source_to_concept_map,invalid_reason,No,VARCHAR(1),"Reason the mapping instance was invalidated. Possible values are D (deleted), U (replaced with an update) or NULL when valid_end_date has the default value.",source_to_concept_map,
cdm,vocabulary,vocabulary_id,Yes,VARCHAR(20),"A unique identifier for each Vocabulary, such as ICD9CM, SNOMED, Visit.",vocabulary,
cdm,vocabulary,vocabulary_name,Yes,VARCHAR(255),"The name describing the vocabulary, for example ""International Classification of Diseases, Ninth Revision, Clinical Modification, Volume 1 and 2 (NCHS)"" etc.",vocabulary,
cdm,vocabulary,vocabulary_reference,Yes,VARCHAR(255),External reference to documentation or available download of the about the vocabulary.,vocabulary,
cdm,vocabulary,vocabulary_version,Yes,VARCHAR(255),Version of the Vocabulary as indicated in the source.,vocabulary,
cdm,vocabulary,vocabulary_concept_id,Yes,INTEGER,A foreign key that refers to a standard concept identifier in the CONCEPT table for the Vocabulary the VOCABULARY record belongs to.,vocabulary,
